Action,Time,ISIN,Ticker,Name,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Market sell,2025-04-11 15:05:20,NL0010273215,ASML,"ASML",EOF30954134276,0.8279244000,578.2000000000,EUR,1.15181513,-24.73,"GBP",414.99,"GBP",,,,,0.62,"GBP",,
Market sell,2025-04-11 15:05:20,CH0012221716,ABBN,"ABB",EOF30954134278,3.6758310000,40.0700000000,CHF,1.06362325,-8.24,"GBP",138.27,"GBP",,,,,0.21,"GBP",,
Market sell,2025-04-11 15:05:20,US86800U3023,SMCI,"Super Micro Computer",EOF30954134280,3.5252160000,32.8600000000,USD,1.30507658,-10.18,"GBP",88.63,"GBP",,,,,0.13,"GBP",,
Market sell,2025-04-11 15:05:21,US67066G1040,NVDA,"Nvidia",EOF30954134282,3.9475330000,108.0400000000,USD,1.30509337,-16.61,"GBP",326.30,"GBP",,,,,0.49,"GBP",,
Market sell,2025-04-11 15:05:21,US90353T1007,UBER,"Uber Technologies",EOF30954134284,6.0946570000,69.7600000000,USD,1.30506253,-17.46,"GBP",325.29,"GBP",,,,,0.49,"GBP",,
Market sell,2025-04-11 15:05:21,CA11271J1075,BN,"Brookfield",EOF30954134286,2.2410000000,66.1100000000,CAD,1.81514959,-5.68,"GBP",81.50,"GBP",,,,,0.12,"GBP",,
Market sell,2025-04-11 15:05:21,CA11271J1075,BN,"Brookfield",EOF30954134288,4.4030000000,66.1200000000,CAD,1.81511540,-11.13,"GBP",160.15,"GBP",,,,,0.24,"GBP",,
Market sell,2025-04-11 15:05:22,US00724F1012,ADBE,"Adobe",EOF30954134292,0.5235905000,344.0300000000,USD,1.30501224,-9.21,"GBP",137.82,"GBP",,,,,0.21,"GBP",,
Market sell,2025-04-11 15:05:23,US92826C8394,V,"Visa",EOF30954134294,1.5221531000,326.1900000000,USD,1.30492554,-11.02,"GBP",379.92,"GBP",,,,,0.57,"GBP",,
Market sell,2025-04-11 15:05:23,US0846707026,BRK.B,"Berkshire Hathaway (Class B)",EOF30954134296,0.2430346000,514.0000000000,USD,1.30491783,-2.22,"GBP",95.59,"GBP",,,,,0.14,"GBP",,
Market sell,2025-04-11 15:05:23,US6701002056,NVO,"Novo Nordisk",EOF30954134298,13.7529570000,63.5500000000,USD,1.30492619,-16.91,"GBP",668.77,"GBP",,,,,1.00,"GBP",,
Market sell,2025-04-11 15:05:23,US09857L1089,BKNG,"Booking",EOF30954134300,0.0688449900,4440.4200000000,USD,1.30490745,-11.16,"GBP",233.92,"GBP",,,,,0.35,"GBP",,
Market sell,2025-04-11 15:05:23,CA11271J1075,BN,"Brookfield",EOF30954134304,0.9613100000,66.0800000000,CAD,1.81547198,-2.46,"GBP",34.94,"GBP",,,,,0.05,"GBP",,
Market sell,2025-04-11 15:05:24,US24703L2025,DELL,"Dell Technologies",EOF30954134306,0.7543730000,79.0800000000,USD,1.30480789,-3.60,"GBP",45.65,"GBP",,,,,0.07,"GBP",,
Market sell,2025-04-11 15:05:33,US67066G1040,NVDA,"Nvidia",EOF30954134363,1.0226503000,108.0500000000,USD,1.30488149,-4.28,"GBP",84.55,"GBP",,,,,0.13,"GBP",,
Market sell,2025-04-11 15:05:33,US24703L2025,DELL,"Dell Technologies",EOF30954134365,0.4521740000,78.9000000000,USD,1.30492057,-2.23,"GBP",27.30,"GBP",,,,,0.04,"GBP",,
Market sell,2025-04-11 15:05:33,FR0000121972,SU,"Schneider Electric",EOF30954134367,0.2498222000,196.0200000000,EUR,1.15169679,-2.23,"GBP",42.46,"GBP",,,,,0.06,"GBP",,
Market sell,2025-04-11 15:05:33,NL0010273215,ASML,"ASML",EOF30954134371,0.1408034000,577.9000000000,EUR,1.15173793,-4.24,"GBP",70.54,"GBP",,,,,0.11,"GBP",,
Market sell,2025-04-11 15:05:33,US00724F1012,ADBE,"Adobe",EOF30954134369,0.1581163000,343.5500000000,USD,1.30516229,-2.85,"GBP",41.56,"GBP",,,,,0.06,"GBP",,
Market sell,2025-04-11 15:05:33,US02079K3059,GOOGL,"Alphabet (Class A)",EOF30954134373,1.3456864000,154.7300000000,USD,1.30503326,-3.47,"GBP",159.31,"GBP",,,,,0.24,"GBP",,
Market sell,2025-04-11 15:05:33,US0231351067,AMZN,"Amazon",EOF30954134377,0.6092536000,178.8000000000,USD,1.30507420,-5.28,"GBP",83.34,"GBP",,,,,0.13,"GBP",,
Market sell,2025-04-11 15:05:33,CH0012221716,ABBN,"ABB",EOF30954134374,1.1273040000,40.0700000000,CHF,1.06385000,-2.53,"GBP",42.40,"GBP",,,,,0.06,"GBP",,
Market sell,2025-04-11 15:05:33,DE0007037129,RWE,"RWE",EOF30954134381,0.5435110000,32.5800000000,EUR,1.15208772,0.39,"GBP",15.35,"GBP",,,,,0.02,"GBP",,
Market sell,2025-04-11 15:05:34,US86800U3023,SMCI,"Super Micro Computer",EOF30954134383,1.0285970000,32.8000000000,USD,1.30514435,-3.02,"GBP",25.81,"GBP",,,,,0.04,"GBP",,
Market sell,2025-04-11 15:05:34,DE0007236101,SIE,"Siemens",EOF30954134385,0.3536167000,179.5800000000,EUR,1.15186807,-4.78,"GBP",55.05,"GBP",,,,,0.08,"GBP",,
Market sell,2025-04-11 15:05:34,ES0144580Y14,IBE,"Iberdrola",EOF30954134387,4.9401260000,14.7750000000,EUR,1.15181255,3.46,"GBP",63.27,"GBP",,,,,0.10,"GBP",,
Market sell,2025-04-11 15:05:34,US90353T1007,UBER,"Uber Technologies",EOF30954134389,1.0503830000,69.7100000000,USD,1.30497592,-3.05,"GBP",56.03,"GBP",,,,,0.08,"GBP",,
Market sell,2025-04-11 15:05:34,CA11271J1075,BN,"Brookfield",EOF30954134393,3.3911090000,66.0600000000,CAD,1.81595866,-8.73,"GBP",123.17,"GBP",,,,,0.19,"GBP",,
Market sell,2025-04-11 15:05:34,US0846707026,BRK.B,"Berkshire Hathaway (Class B)",EOF30954134395,0.1484148000,513.9400000000,USD,1.30498378,-1.36,"GBP",58.36,"GBP",,,,,0.09,"GBP",,
Market sell,2025-04-11 15:05:35,US5949181045,MSFT,"Microsoft",EOF30954134397,0.3480534000,380.8200000000,USD,1.30496894,-2.91,"GBP",101.42,"GBP",,,,,0.15,"GBP",,
Market sell,2025-04-11 15:05:36,US0394831020,ADM,"Archer-Daniels-Midland",EOF30954134406,0.4312290000,44.6300000000,USD,1.30479662,-0.23,"GBP",14.73,"GBP",,,,,0.02,"GBP",,
Market sell,2025-04-11 15:05:36,US14448C1045,CARR,"Carrier Global",EOF30954134405,0.6245010000,57.9500000000,USD,1.30507872,-2.23,"GBP",27.69,"GBP",,,,,0.04,"GBP",,
Market sell,2025-04-11 15:05:36,GB0009697037,BAB,"Babcock International",EOF30954134413,8.1951258000,687.0000000000,GBX,100.00000000,-3.40,"GBP",56.30,"GBP",,,,,,,,
Market sell,2025-04-11 15:05:39,US6701002056,NVO,"Novo Nordisk",EOF30954134420,1.7656250000,63.5000000000,USD,1.30490208,-2.24,"GBP",85.79,"GBP",,,,,0.13,"GBP",,
Market sell,2025-04-11 15:05:39,US92826C8394,V,"Visa",EOF30954134422,0.2907845000,326.0900000000,USD,1.30500849,-2.13,"GBP",72.55,"GBP",,,,,0.11,"GBP",,
Market sell,2025-04-11 15:05:39,US0404132054,ANET,"Arista Networks",EOF30954134425,0.9887050000,71.7600000000,USD,1.30493784,-5.54,"GBP",54.29,"GBP",,,,,0.08,"GBP",,
Market sell,2025-04-11 15:07:32,US09857L1089,BKNG,"Booking",EOF30954134910,0.0165807500,4440.9200000000,USD,1.30533210,-2.70,"GBP",56.33,"GBP",,,,,0.08,"GBP",,
Market buy,2025-08-28 19:09:29,US91324P1021,UNH,"UnitedHealth",EOF37907030533,10.0000000000,303.8400000000,USD,1.35125279,,,2251.95,"GBP",,,,,3.37,"GBP",,
Market buy,2025-09-09 19:16:34,US5261071071,LII,"Lennox International",EOF38506741915,0.2378709400,558.2200000000,USD,1.35190710,,,98.37,"GBP",,,,,0.15,"GBP",,
Market buy,2025-09-09 19:16:34,US5261071071,LII,"Lennox International",EOF38506741920,0.7621290600,558.2200000000,USD,1.35187697,,,315.17,"GBP",,,,,0.47,"GBP",,
Limit buy,2025-09-12 17:36:54,US5500211090,LULU,"Lululemon Athletica",EOF38658254854,15.0000000000,159.8200000000,USD,1.35623041,,,1770.27,"GBP",,,,,2.65,"GBP",,
Market sell,2025-09-22 16:38:46,US5261071071,LII,"Lennox International",EOF39163761444,1.0000000000,531.3900000000,USD,1.35079691,-19.53,"GBP",392.80,"GBP",,,,,0.59,"GBP",,
Dividend (Dividend),2025-09-23 07:35:42,US91324P1021,UNH,"UnitedHealth",,10.0000000000,1.878500,USD,0.74048400,,,13.91,"GBP",3.32,USD,,,,,,
Market buy,2025-09-24 19:20:39,US0367521038,ELV,"Elevance Health",EOF39259803419,3.0000000000,325.7200000000,USD,1.34437641,,,727.94,"GBP",,,,,1.09,"GBP",,
Market buy,2025-09-26 14:58:41,CA4436281022,HBM,"Hudbay Minerals",EOF39357270691,25.0000000000,14.0300000000,USD,1.34012149,,,262.12,"GBP",,,,,0.39,"GBP",,
Market buy,2025-09-26 15:27:54,US35671D8570,FCX,"Freeport-McMoRan",EOF39357281481,20.0000000000,35.9800000000,USD,1.34061143,,,537.58,"GBP",,,,,0.81,"GBP",,
Market buy,2025-09-26 15:29:01,US0367521038,ELV,"Elevance Health",EOF39357281800,1.0000000000,317.3500000000,USD,1.34061338,,,237.08,"GBP",,,,,0.36,"GBP",,
Market buy,2025-09-29 17:53:14,US79466L3024,CRM,"Salesforce",EOF39514671200,3.0000000000,245.4800000000,USD,1.34281494,,,549.25,"GBP",,,,,0.82,"GBP",,
Market buy,2025-09-29 17:53:55,US3377381088,FISV,"Fiserv",EOF39514671409,3.0000000000,129.8400000000,USD,1.34284827,,,290.51,"GBP",,,,,0.44,"GBP",,
Market buy,2025-09-29 19:47:00,US0367521038,ELV,"Elevance Health",EOF39514692605,3.0000000000,320.1200000000,USD,1.34355544,,,715.86,"GBP",,,,,1.07,"GBP",,
Market buy,2025-09-29 19:50:25,US47215P1066,JD,"JD.com",EOF39514693253,15.0000000000,35.5100000000,USD,1.34365067,,,397.01,"GBP",,,,,0.59,"GBP",,
Market sell,2025-09-30 14:09:50,US79466L3024,CRM,"Salesforce",EOF39557600819,3.0000000000,241.9200000000,USD,1.34472216,-8.72,"GBP",538.90,"GBP",,,,,0.81,"GBP",,
Limit buy,2025-09-30 14:22:00,US0367521038,ELV,"Elevance Health",EOF39557610213,4.0000000000,323.5900000000,USD,1.34462196,,,964.06,"GBP",,,,,1.44,"GBP",,
Limit buy,2025-09-30 14:37:03,US0367521038,ELV,"Elevance Health",EOF39557619138,4.0000000000,321.9800000000,USD,1.34540934,,,958.71,"GBP",,,,,1.44,"GBP",,
Market buy,2025-09-30 19:59:36,CA4436281022,HBM,"Hudbay Minerals",EOF39559849147,12.7077425800,15.1700000000,USD,1.34479563,,,143.57,"GBP",,,,,0.22,"GBP",,
Market buy,2025-09-30 19:59:38,CA4436281022,HBM,"Hudbay Minerals",EOF39559849155,2.2922574200,15.1700000000,USD,1.34468465,,,25.90,"GBP",,,,,0.04,"GBP",,
