Action,Time,ISIN,Ticker,Name,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee)
Limit buy,18/02/2026 15:30:00,US74440L1061,PRYMY,Prysmian,EOF46805857139,15,59.27,USD,1.35424758,,,657.47,GBP,,,0.98,GBP
Limit sell,19/02/2026 14:49:00,US74440L1061,PRYMY,Prysmian,EOF46855016090,15,56.69,USD,1.34436311,-23.96,GBP,631.58,GBP,,,0.95,GBP
Limit buy,24/02/2026 20:03:00,US0231351067,AMZN,Amazon,EOF47109080380,10,209.45,USD,1.35000128,,,1553.81,GBP,,,2.33,GBP
Limit buy,24/02/2026 20:04:00,US48581R2058,KSPI,Kaspi.KZ,EOF47109080423,0.86670553,72.01,USD,1.35002087,,,46.3,GBP,,,0.07,GBP
Limit buy,24/02/2026 20:04:00,US48581R2058,KSPI,Kaspi.KZ,EOF47109080461,3,72.05,USD,1.34984075,,,160.37,GBP,,,0.24,GBP
Limit buy,24/02/2026 20:05:00,US48581R2058,KSPI,Kaspi.KZ,EOF47109080589,3,72.06,USD,1.34977522,,,160.4,GBP,,,0.24,GBP
Limit buy,24/02/2026 20:05:00,US48581R2058,KSPI,Kaspi.KZ,EOF47109080590,3,72.06,USD,1.34977522,,,160.4,GBP,,,0.24,GBP
Limit buy,24/02/2026 20:05:00,US48581R2058,KSPI,Kaspi.KZ,EOF47109080730,3,72.06,USD,1.34969095,,,160.41,GBP,,,0.24,GBP
Limit buy,24/02/2026 20:05:00,US48581R2058,KSPI,Kaspi.KZ,EOF47109080775,3,72.06,USD,1.34969095,,,160.41,GBP,,,0.24,GBP
Limit buy,24/02/2026 20:05:00,US48581R2058,KSPI,Kaspi.KZ,EOF47109080835,3,72.06,USD,1.34969095,,,160.41,GBP,,,0.24,GBP
Limit buy,24/02/2026 20:06:00,US48581R2058,KSPI,Kaspi.KZ,EOF47109080925,3,72.06,USD,1.34969095,,,160.41,GBP,,,0.24,GBP
